epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,4654.78,0.86575,1.24929,0.84745,0.04716,0.21429,0.20605,0.17102,1.1971,3.91774,0.96215,0.00085766,0.00085766,0.00085766
32,4796.67,0.83843,1.19003,0.83147,0.005,0.32143,0.20024,0.17572,1.12965,3.92271,0.9504,0.000873306,0.000873306,0.000873306
33,4931.85,0.85103,1.20395,0.8457,0.62783,0.06311,0.1822,0.14862,1.08445,3.79847,0.91588,0.00088816,0.00088816,0.00088816
34,5094.23,0.88339,1.2444,0.84093,0.62783,0.06311,0.1822,0.14862,1.08445,3.79847,0.91588,0.000902222,0.000902222,0.000902222
35,5239.32,0.87311,1.34137,0.87496,0.22202,0.07143,0.1295,0.1,1.13541,3.61822,0.93884,0.000915492,0.000915492,0.000915492
36,5393.27,0.80316,1.14842,0.84127,0.57262,0.10714,0.21824,0.1694,1.0945,3.53995,0.93017,0.00092797,0.00092797,0.00092797
37,5526.38,0.73852,1.23816,0.83357,0.57262,0.10714,0.21824,0.1694,1.0945,3.53995,0.93017,0.000939656,0.000939656,0.000939656
38,5671.4,0.8169,1.16111,0.87362,1,0.11856,0.2859,0.22588,1.16687,3.62814,0.93548,0.00095055,0.00095055,0.00095055
39,5819.46,0.88206,1.22047,0.85797,0.24567,0.10714,0.15852,0.12169,1.13178,3.5478,0.92735,0.000960652,0.000960652,0.000960652
40,5975.18,0.84768,1.19459,0.83847,0.24567,0.10714,0.15852,0.12169,1.13178,3.5478,0.92735,0.000969962,0.000969962,0.000969962
41,6122.32,0.75321,1.22376,0.85223,0.27662,0.10714,0.17675,0.14194,1.10945,3.40403,0.93526,0.00097848,0.00097848,0.00097848
42,6291.82,0.82654,1.22039,0.83474,0.35344,0.10714,0.23558,0.17575,1.11234,3.38163,0.94173,0.000986206,0.000986206,0.000986206
43,6427.79,0.76968,1.10192,0.82989,0.35344,0.10714,0.23558,0.17575,1.11234,3.38163,0.94173,0.00099314,0.00099314,0.00099314
44,6575.42,0.80514,1.19836,0.82672,1,0.10664,0.35218,0.26684,1.07758,3.2709,0.93578,0.000999282,0.000999282,0.000999282
45,6712.19,0.87337,1.07404,0.82758,1,0.10664,0.35218,0.26684,1.07758,3.2709,0.93578,0.00100463,0.00100463,0.00100463
46,6859.41,0.78334,1.04999,0.82727,1,0.18439,0.66277,0.46894,1.10756,2.98453,0.9292,0.00100919,0.00100919,0.00100919
47,6993.46,0.70584,0.95977,0.81583,1,0.18439,0.66277,0.46894,1.10756,2.98453,0.9292,0.00101296,0.00101296,0.00101296
48,17087.1,0.78081,1.10693,0.83818,0.99188,0.35714,0.74719,0.50552,1.08953,2.85871,0.92048,0.00101593,0.00101593,0.00101593
49,17211.5,0.88046,1.22957,0.86325,0.99188,0.35714,0.74719,0.50552,1.08953,2.85871,0.92048,0.00101811,0.00101811,0.00101811
50,17362.8,0.71187,1.06509,0.83396,0.85478,0.32143,0.61762,0.44055,1.10809,3.03686,0.92231,0.0010195,0.0010195,0.0010195
51,20092.3,0.73011,1.07632,0.83571,0.85478,0.32143,0.61762,0.44055,1.10809,3.03686,0.92231,0.00101,0.00101,0.00101
52,20248.5,0.69839,1.06718,0.82427,0.93584,0.52146,0.76085,0.55027,1.03219,2.64945,0.90301,0.0009902,0.0009902,0.0009902
53,24840.8,0.72926,1.05101,0.83641,0.93584,0.52146,0.76085,0.55027,1.03219,2.64945,0.90301,0.0009704,0.0009704,0.0009704
54,25031.7,0.83812,1.05936,0.82022,0.90821,0.70706,0.87582,0.65177,0.99227,2.20231,0.89053,0.0009506,0.0009506,0.0009506
55,25175.7,0.76396,0.94561,0.82489,0.90821,0.70706,0.87582,0.65177,0.99227,2.20231,0.89053,0.0009308,0.0009308,0.0009308
56,25340.7,0.72675,0.90206,0.8377,0.93701,0.75,0.92595,0.63203,1.0123,1.97484,0.88828,0.000911,0.000911,0.000911
57,25468,0.75142,0.97777,0.82963,0.93701,0.75,0.92595,0.63203,1.0123,1.97484,0.88828,0.0008912,0.0008912,0.0008912
58,25618.8,0.67289,0.9352,0.81409,0.84446,0.75,0.92192,0.6096,1.02124,2.01521,0.88994,0.0008714,0.0008714,0.0008714
59,25751.7,0.83088,0.98517,0.834,0.84446,0.75,0.92192,0.6096,1.02124,2.01521,0.88994,0.0008516,0.0008516,0.0008516
60,25887.8,0.83494,0.92911,0.82308,0.90873,0.71127,0.92345,0.61738,1.01383,2.07031,0.89735,0.0008318,0.0008318,0.0008318
61,26015.7,0.79695,1.0082,0.83965,0.90873,0.71127,0.92345,0.61738,1.01383,2.07031,0.89735,0.000812,0.000812,0.000812
62,26147.5,0.74194,1.0941,0.83948,0.88341,0.81211,0.91829,0.65413,1.00711,2.0177,0.89117,0.0007922,0.0007922,0.0007922
63,26259.7,0.73749,0.98371,0.81633,0.88341,0.81211,0.91829,0.65413,1.00711,2.0177,0.89117,0.0007724,0.0007724,0.0007724
64,26386.9,0.74531,1.00964,0.84397,0.81081,0.75,0.92708,0.66151,1.00876,1.84109,0.88811,0.0007526,0.0007526,0.0007526
65,26517.9,0.68963,0.99277,0.83747,0.81081,0.75,0.92708,0.66151,1.00876,1.84109,0.88811,0.0007328,0.0007328,0.0007328
66,26648,0.77703,1.13549,0.80729,0.85585,0.78571,0.92821,0.62838,1.07074,1.64313,0.90491,0.000713,0.000713,0.000713
67,26773.4,0.66865,0.92246,0.82437,0.85585,0.78571,0.92821,0.62838,1.07074,1.64313,0.90491,0.0006932,0.0006932,0.0006932
68,26901.7,0.68372,0.93022,0.82502,0.91989,0.82029,0.93639,0.64792,1.02534,1.49723,0.90372,0.0006734,0.0006734,0.0006734
69,27040.5,0.72297,0.87512,0.82028,0.91989,0.82029,0.93639,0.64792,1.02534,1.49723,0.90372,0.0006536,0.0006536,0.0006536
70,27166.8,0.66759,0.8821,0.82264,0.88082,0.79207,0.92955,0.64629,0.993,1.42124,0.90084,0.0006338,0.0006338,0.0006338
71,27300.2,0.70369,0.78147,0.81686,0.88082,0.79207,0.92955,0.64629,0.993,1.42124,0.90084,0.000614,0.000614,0.000614
72,27430.7,0.70449,0.88113,0.81761,0.9468,0.78571,0.93069,0.65352,0.97338,1.43146,0.89773,0.0005942,0.0005942,0.0005942
73,27568.9,0.70447,0.86243,0.8165,0.9468,0.78571,0.93069,0.65352,0.97338,1.43146,0.89773,0.0005744,0.0005744,0.0005744
74,27734.9,0.73225,0.85115,0.81069,0.9542,0.74434,0.92447,0.64821,0.96554,1.47422,0.89293,0.0005546,0.0005546,0.0005546
75,27871.6,0.62718,0.82659,0.81918,0.9542,0.74434,0.92447,0.64821,0.96554,1.47422,0.89293,0.0005348,0.0005348,0.0005348
76,28006.4,0.68769,0.90479,0.83555,0.81357,0.82143,0.92153,0.64759,0.9825,1.50955,0.89531,0.000515,0.000515,0.000515
77,28147,0.67477,0.88888,0.80601,0.81357,0.82143,0.92153,0.64759,0.9825,1.50955,0.89531,0.0004952,0.0004952,0.0004952
78,28278.5,0.7039,0.79647,0.79748,0.84913,0.78571,0.89966,0.6416,0.96621,1.4763,0.89031,0.0004754,0.0004754,0.0004754
79,28426.7,0.6542,0.83179,0.81509,0.84913,0.78571,0.89966,0.6416,0.96621,1.4763,0.89031,0.0004556,0.0004556,0.0004556
80,28562.1,0.64352,0.87923,0.81872,0.91679,0.82143,0.927,0.63988,0.96774,1.41238,0.89913,0.0004358,0.0004358,0.0004358
81,28692.6,0.60794,0.78287,0.80699,0.91679,0.82143,0.927,0.63988,0.96774,1.41238,0.89913,0.000416,0.000416,0.000416
82,28829.4,0.6441,0.8379,0.82051,0.87539,0.82143,0.89221,0.61943,0.98111,1.38514,0.91432,0.0003962,0.0003962,0.0003962
83,28961.7,0.7264,0.80594,0.8269,0.87539,0.82143,0.89221,0.61943,0.98111,1.38514,0.91432,0.0003764,0.0003764,0.0003764
84,29097,0.65964,0.82583,0.8147,0.87605,0.82143,0.89324,0.62446,0.95999,1.35059,0.91591,0.0003566,0.0003566,0.0003566
85,29226.5,0.60813,0.81702,0.80797,0.87605,0.82143,0.89324,0.62446,0.95999,1.35059,0.91591,0.0003368,0.0003368,0.0003368
86,29376,0.61174,0.81636,0.81899,0.87571,0.82143,0.89909,0.63412,0.94265,1.32298,0.90584,0.000317,0.000317,0.000317
87,29516.9,0.58345,0.82921,0.82163,0.87571,0.82143,0.89909,0.63412,0.94265,1.32298,0.90584,0.0002972,0.0002972,0.0002972
88,29650,0.61688,0.78798,0.79349,0.87644,0.82143,0.89821,0.64584,0.95418,1.32783,0.8997,0.0002774,0.0002774,0.0002774
89,29782.4,0.53804,0.77707,0.79656,0.87644,0.82143,0.89821,0.64584,0.95418,1.32783,0.8997,0.0002576,0.0002576,0.0002576
90,29914.1,0.6433,0.76578,0.81796,0.88004,0.82143,0.90763,0.63981,0.95779,1.35527,0.90494,0.0002378,0.0002378,0.0002378
91,30028.1,0.60589,0.98971,0.77762,0.88004,0.82143,0.90763,0.63981,0.95779,1.35527,0.90494,0.000218,0.000218,0.000218
92,30138.8,0.63791,1.02553,0.83494,0.88444,0.82008,0.91366,0.63449,0.98995,1.36203,0.91929,0.0001982,0.0001982,0.0001982
93,30264.7,0.57291,0.9035,0.79051,0.88444,0.82008,0.91366,0.63449,0.98995,1.36203,0.91929,0.0001784,0.0001784,0.0001784
94,30390.5,0.60539,0.97028,0.80226,0.83466,0.90169,0.92761,0.62081,1.03646,1.36314,0.94253,0.0001586,0.0001586,0.0001586
95,30497.9,0.60943,1.04069,0.80932,0.83466,0.90169,0.92761,0.62081,1.03646,1.36314,0.94253,0.0001388,0.0001388,0.0001388
96,30617.4,0.63693,1.01434,0.82198,0.83582,0.9094,0.92613,0.60565,1.06499,1.34602,0.97279,0.000119,0.000119,0.000119
97,30734.3,0.58796,1.00765,0.8154,0.83582,0.9094,0.92613,0.60565,1.06499,1.34602,0.97279,9.92e-05,9.92e-05,9.92e-05
98,30853.3,0.53589,1.0004,0.80032,0.92245,0.84992,0.93177,0.60118,1.05599,1.34262,0.97322,7.94e-05,7.94e-05,7.94e-05
99,30980.9,0.56891,0.94449,0.80556,0.92245,0.84992,0.93177,0.60118,1.05599,1.34262,0.97322,5.96e-05,5.96e-05,5.96e-05
100,31111.9,0.57275,0.99945,0.82323,0.86121,0.8866,0.93157,0.60151,1.04982,1.31524,0.97382,3.98e-05,3.98e-05,3.98e-05
