epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.249,3.09803,6.31913,2.22912,0,0,0,0,4.13088,9.09644,2.97697,2e-05,2e-05,2e-05
2,226.012,2.73763,5.74053,2.04966,0,0,0,0,2.87874,7.42304,2.11315,5.9406e-05,5.9406e-05,5.9406e-05
3,381.746,1.78592,5.39552,1.57454,0,0,0,0,2.19266,5.93801,1.66427,9.802e-05,9.802e-05,9.802e-05
4,552.463,1.53395,4.55301,1.33377,0,0,0,0,1.64572,5.05009,1.30053,0.000135842,0.000135842,0.000135842
5,696.328,1.29241,4.21838,1.09804,0,0,0,0,1.41096,4.60958,1.10574,0.000172872,0.000172872,0.000172872
6,859.89,1.25356,3.42147,1.02856,0,0,0,0,1.33816,4.40629,1.04853,0.00020911,0.00020911,0.00020911
7,1003.18,1.2464,2.66508,0.96202,0.00056,0.03571,0.00051,0.0002,1.24542,4.22209,1.01043,0.000244556,0.000244556,0.000244556
8,1167.82,1.09387,2.2561,0.92277,0.00167,0.10714,0.00684,0.00355,1.15527,4.21237,0.97169,0.00027921,0.00027921,0.00027921
9,1309.8,1.18829,2.27511,0.91887,0.00389,0.25,0.01662,0.00502,1.14976,4.19027,0.94903,0.000313072,0.000313072,0.000313072
10,1481.19,1.13921,2.23546,0.91751,0.00444,0.28571,0.01585,0.00398,1.15651,4.13709,0.91919,0.000346142,0.000346142,0.000346142
11,1643.53,1.04662,2.12412,0.92423,0.00444,0.28571,0.00588,0.00173,1.19294,4.11966,0.91334,0.00037842,0.00037842,0.00037842
12,1798.56,1.02143,2.19942,0.92588,0.00444,0.28571,0.00286,0.00094,1.18359,4.14638,0.9135,0.000409906,0.000409906,0.000409906
13,1961.54,1.03058,1.83291,0.87635,0.00222,0.14286,0.00155,0.00099,1.22691,4.08908,0.93501,0.0004406,0.0004406,0.0004406
14,2105.77,1.13326,1.80606,0.89825,0.00222,0.14286,0.00188,0.00135,1.19946,3.99339,0.93564,0.000470502,0.000470502,0.000470502
15,2265.46,1.0052,1.68692,0.8832,0.00222,0.14286,0.00266,0.00229,1.10843,3.99072,0.90753,0.000499612,0.000499612,0.000499612
16,2414.12,0.92983,1.67592,0.87022,0.00222,0.14286,0.00228,0.00183,1.11472,3.9536,0.90108,0.00052793,0.00052793,0.00052793
17,2563.73,0.93154,1.70047,0.85687,0.00167,0.10714,0.00096,0.00071,1.07472,3.96431,0.88817,0.000555456,0.000555456,0.000555456
18,2710.91,1.03249,1.63214,0.88017,0.00389,0.25,0.00691,0.00545,1.07147,3.93597,0.89123,0.00058219,0.00058219,0.00058219
19,2867.55,0.93875,1.82457,0.87255,0.00722,0.46429,0.07761,0.05893,1.10904,3.89325,0.90324,0.000608132,0.000608132,0.000608132
20,3015.15,1.02231,1.54873,0.86816,0.00667,0.42857,0.08406,0.06754,1.08652,3.86632,0.89739,0.000633282,0.000633282,0.000633282
21,3173.51,0.93054,1.55319,0.85897,0.09812,0.03571,0.07708,0.05798,1.09153,3.8698,0.89425,0.00065764,0.00065764,0.00065764
22,3312.04,0.96425,1.37649,0.85847,0.06006,0.03571,0.06379,0.04909,1.13548,3.84934,0.90124,0.000681206,0.000681206,0.000681206
23,3468.23,0.94082,1.39205,0.88428,0.05792,0.03571,0.05887,0.04443,1.17455,3.80569,0.92267,0.00070398,0.00070398,0.00070398
24,3615.71,0.99368,1.37185,0.86341,0.005,0.32143,0.05959,0.04545,1.17421,3.79993,0.93308,0.000725962,0.000725962,0.000725962
25,3773.56,1.07396,1.36988,0.84637,0.00444,0.28571,0.05203,0.04098,1.1874,3.89009,0.94583,0.000747152,0.000747152,0.000747152
26,3922.53,0.94597,1.55518,0.89545,0.00941,0.32143,0.10861,0.08235,1.20441,3.90807,0.95576,0.00076755,0.00076755,0.00076755
27,4082.8,0.87034,1.34684,0.8726,0.17332,0.03571,0.13008,0.09814,1.16968,3.83104,0.93792,0.000787156,0.000787156,0.000787156
28,4222.73,0.96888,1.43294,0.89324,0.17332,0.03571,0.13008,0.09814,1.16968,3.83104,0.93792,0.00080597,0.00080597,0.00080597
29,4376.48,0.88283,1.17912,0.85089,1,0.08762,0.22413,0.17635,1.16786,3.86749,0.9378,0.000823992,0.000823992,0.000823992
30,4511.52,0.84201,1.15039,0.82813,0.04716,0.21429,0.20605,0.17102,1.1971,3.91774,0.96215,0.000841222,0.000841222,0.000841222
